product_name,product_quantity,rate,label
MALAI PANEER,1KG,245,1
CURD PACKET ( Milky Misty),1KG,85,1
CURD LOOSE/PKT ( NATURA),1KG,75,1
COW MILK (NATURA),1LTR,50,1
COW MILK(AMUL),1LTR,56,1
BUFFALO MILK(NATURA),1LTR,64,1
BUFFALO MILK(AMUL),1LTR,70,1
GREEN PEACE,1KG,110,1
CORN,1KG,70,1
FRESH MALAI MAVA,1KG,250,1
FRESH MASHROOM,1KG,150,1
BABY CORN,1KG,150,1
AMUL CHEESE,1KG,495,1
AMUL CREAM,1LTR,212,1
RICH CREAM,1LTR,220,1
AMUL BUTTER,1KG,500,1
NUTRALITE BUTTER,1KG,190,1
FRENCH FRIES 6MM  (BALAJI/AMUL),PKT,350,1
FRENCH FRIES 6MM (MACCAN),PKT,350,1
BUTTER MILK (AMUL),1LTR,34,1
AMUL TAAZA (TETRA PACK),1LTR,70,1
MOZRELLA CHEESE,1LTR,495,1
BUFFALO GHEE,1KG,550,1
COW GHEE,1KG,520,1
KOKAM SYRUP,1LTR,120,1
ANGURI DABBA,1KG,550,1
TOMATO PUREE,1KG,90,1
MANGO PULP,860 GM,210,1
BBQ SAUCE,510 GM,270,1
SWEET CORN TIN,400GM,55,1
BABY CORN TIN,425 GM,80,1
AROMATIC POWDER,0.5 KG,180,1
NACHOS,200GM ,110,1
BUDHANI WAFERS,165 GM,57,1
COCONUT MILK POWDER,1 KG,665,1
SUNRISE COFFEE,1 KG,780,1
TOMATO KETCHUP ,1 KG ,110,1
PENNE/SPIRALI/ SPAGHETTI/ MACRONI PASTA ( DELMONTE/HABIT),1 KG,185,1
PAENNE/SPIRALI/SPAGHETTI/MACRONI PASTA (BARILLA),1 KG,400,1
REAL JUICES,1 LTR,300,1
MANAMA / MALAZ CRUSH AND SYRUPS,1 LTR,400,1
MAPRO CRUSH AND SYRUPS,1 LTR,400,1
PANKO BREAD CRUMBS,1 KG,170,1
CORN FLAKES,0.5 KG,125,1
MANGO PICKLE,5 KG,300,1
TOMATO KETCHUP,5 KG,280,1
MINT SOFE,1 KG,80,1
BADI SOFE,1 KG,250,1
MAYONESE,1 KG,100,1
IDLI PEETH ATA,1 KG,60,1
MILKMAID,1 TIN,145,1
TOOTI FRUITY,1 KG,110,1
CHERRY,0.5 KG,130,1
WHIPPING CREAM,1 KG,230,1
PHARAMASEN CHEESE,1 KG,1400,1
SHRIKHAND,1 KG,240,1
BLACK OLIVES,1 BTL,150,1
MUSTARD SAUCE,1 BTL,140,1
VINEGAR,1 BTL,40,1
HONEY,1 LTR,380,1
SESAME OIL,1 BTL,400,1
JALAPENO,1 BTL,135,1
CHILLI FLAKES,1 PKT,390,1
PIRI PIRI,1 PKT,580,1
OYASTER SAUCE,1 BTL,210,1
CHINGS RED CHILLI SAUCE,1 BTL,60,1
MORADE WHITE COMPOUND,400 GM PKT,205,1
MORADE DARK COMPOUND,400 GM PKT,150,1
CHOCOLATE CHIPS,1 KG,300,1
RAINBOW SPRINKLER COLOUR SHEV,1 KG,700,1
RAINBOW SPRINKLE BLACK SHEV,1 KG,300,1
ABC SAUCE,1 BTL,350,1
REGULAR BREADS,1 PKT,25,1
JUMBO BREADS,1 KG PKT,65,1
KOLHAPURI THECHA,1 PKT,35,1
PEANUT BUTTER,1 KG,250,1
REAL JUICE (TETRA PACK),200ML PKT,17,1
Kalyani PANIPURI,PKT,750,1
MISAL FARSAN,1 KG,140,1
KHATTA MITHAFARSAN,1 KG,140,1
SPICY FARSAN,1 KG,150,1
SHEV FOR SHEVBHAJI,1 KG,120,1
BARIK ZERO SHEV,1 KG,120,1
UPWAS FARALI CHIWDA SPICY,100GM PKT,25,1
UPWAS FARALI CHIWDA SWEET,100GM PKT,25,1
UPWAS FARALI CHIWDA SPICY,200GM PKT,45,1
UPWAS FARALI CHIWDA SWEET,200GM PKT,45,1
RAJGIRA LADDU,100GM PKT,25,1
RAJGIRA LADDU,200 GM PKT,45,1
MCCAIN POTATO VAGES,2.5 KG,470,1
MCCAIN ALLU TIKKI,1.5 KG,270,1
MCCAIN BURGER PATTY,1.2 KG,240,1
MCCAN POTATO CHEESE SHOTZ,400 GM,200,1
MCCAN CHILLI CHEESY NUGGETS,400 GM,220,1
CHICKEN BURGER PATTY,1.5 KG,650,1
CHOCO STICKS,1 TIN,110,1
NESTEA LIME ICE TEA,1 KG,380,1
NUTELLA ,350 GM,350,1
FRAPPE POWDER,1 KG,720,1
OREGANO,1 KG,370,1
LIGHT SOYA SAUCE,1 NOS,390,1
WHITE BUTTER,1 KG,280,1
RICE NUDLES,0.5 KG,160,1
KISAN MIXED FRUITS JAM,0.5  KG,160,1
MCCAN CHILLI GARLIC POTATO BITES,1.24 KG,310,1
MCCAN SMILES,1.25 KG,310,1
ITC PIZZA POCKET,.0.34 KG,170,1
GODREJ PIZZA POCKET,0.34 KG,130,1
MCCAN VEGGIE FINGER,0.4 KG,140,1
MCCAN CREZY FRIES HOT N TANG,0.4 KG,127,1
MCCAN VERIETY PACK ,0.55 KG,140,1
MALAI PANEER,KG,245,1
CURD PACKET ( Milky Misty),KG,85,1
CURD LOOSE/PKT ( NATURA),KG,75,1
COW MILK (NATURA),LTR,50,1
COW MILK(AMUL),LTR,56,1
BUFFALO MILK(NATURA),LTR,64,1
BUFFALO MILK,LTR,70,1
GREEN PEACE,KG,110,1
CORN,KG,80,1
FRESH MALAI MAVA,KG,250,1
FRESH MASHROOM,KG,150,1
BABY CORN,KG,150,1
AMUL CHEESE,KG,495,1
AMUL CREAM,LTR,212,1
RICH CREAM,LTR,220,1
AMUL BUTTER,KG,500,1
NUTRALITE BUTTER,KG,190,1
FRENCH FRIES 6MM  (BALAJI/AMUL)/,PKT,350,1
FRENCH FRIES 6MM (MACCAN),PKT,350,1
BUTTER MILK (AMUL),LTR,34,1
AMUL TAAZA (TETRA PACK),LTR,70,1
MOZRELLA CHEESE,LTR,495,1
BUFFALO GHEE,KG,550,1
COW GHEE,KG,520,1
KOKAM SYRUP,LTR,120,1
ANGURI DABBA,3.5 KG,550,1
TOMATO PUREE,850 GM,90,1
MANGO PULP,860 GM,210,1
BBQ SAUCE,510 GM,270,1
SWEET CORN TIN,400GM,55,1
BABY CORN TIN,425 GM,80,1
AROMATIC POWDER,0.5 KG,180,1
NACHOS,200GM PKT,110,1
BUDHANI WAFERS,165 GM,57,1
COCONUT MILK POWDER,1 KG,665,1
SUNRISE COFFEE,1 KG,780,1
TOMATO KETCHUP ,1 KG PKT,110,1
PENNE/SPIRALI/ SPAGHETTI/ MACRONI PASTA ( DELMONTE/HABIT),1 KG,185,1
PAENNE/SPIRALI/SPAGHETTI/MACRONI PASTA (BARILLA),1 KG,400,1
REAL JUICES,1 LTR,400,1
MANAMA / MALAZ CRUSH AND SYRUPS,1 LTR,300,1
MAPRO CRUSH AND SYRUPS,1 LTR,200,1
PANKO BREAD CRUMBS,1 KG,170,1
CORN FLAKES,0.5 KG,125,1
MANGO PICKLE,5 KG,300,1
TOMATO KETCHUP,5 KG,280,1
MINT SOFE,1 KG,80,1
BADI SOFE,1 KG,250,1
MAYONESE,1 KG,100,1
IDLI PEETH ATA,1 KG,60,1
MILKMAID,1 TIN,145,1
TOOTI FRUITY,1 KG,110,1
CHERRY,0.5 KG,130,1
WHIPPING CREAM,1 KG,230,1
PHARAMASEN CHEESE,1 KG,1400,1
SHRIKHAND,1 KG,240,1
BLACK OLIVES,1 BTL,150,1
MUSTARD SAUCE,1 BTL,140,1
VINEGAR,1 BTL,40,1
HONEY,1 LTR,380,1
SESAME OIL,1 BTL,400,1
JALAPENO,1 BTL,135,1
CHILLI FLAKES,1 PKT,390,1
PIRI PIRI,1 PKT,580,1
OYASTER SAUCE,1 BTL,210,1
CHINGS RED CHILLI SAUCE,1 BTL,60,1
MORADE WHITE COMPOUND,400 GM PKT,205,1
MORADE DARK COMPOUND,400 GM PKT,150,1
CHOCOLATE CHIPS,1 KG,300,1
RAINBOW SPRINKLER COLOUR SHEV,1 KG,700,1
RAINBOW SPRINKLE BLACK SHEV,1 KG,300,1
ABC SAUCE,1 BTL,350,1
REGULAR BREADS,1 PKT,25,1
JUMBO BREADS,1 KG PKT,65,1
KOLHAPURI THECHA,1 PKT,35,1
PEANUT BUTTER,1 KG,250,1
REAL JUICE (TETRA PACK),200ML PKT,17,1
Kalyani PANIPURI,PKT,750,1
MISAL FARSAN,1 KG,140,1
KHATTA MITHAFARSAN,1 KG,140,1
SPICY FARSAN,1 KG,150,1
SHEV FOR SHEVBHAJI,1 KG,120,1
BARIK ZERO SHEV,1 KG,120,1
UPWAS FARALI CHIWDA SPICY,100GM PKT,25,1
UPWAS FARALI CHIWDA SWEET,100GM PKT,25,1
UPWAS FARALI CHIWDA SPICY,200GM PKT,45,1
UPWAS FARALI CHIWDA SWEET,200GM PKT,45,1
RAJGIRA LADDU,100GM PKT,25,1
